Name,City,State/Province,Zip_Code,Address,Phone,Website,Categories,Genres,Capacity,Age_Restriction,Rating,Description,Booking_Info,Facebook,Instagram,Upcoming_Events,Profile_URL
Timothy's Pub,Toronto,ON,M8W 3T7,"344 Browns Line, Toronto, ON M8W 3T7",N/A,https://www.timothyspub.ca/,"Pub, Music Venue","Acoustic, Blues, Classic Rock, Country, Dance, Funk, R&B, Rock, Singer-Songwriter",N/A,N/A,N/A,"""A true neighborhood pub. Etobicoke’s best live music destination. Sports bar. Traditional pub fare & the best chicken wings in town."" Shows are held 6 nights a week, Tuesday-Sunday, with Tuesdays being reserved for a regular performer.",Requires Premium,https://www.facebook.com/timothyspub.toronto/,https://www.instagram.com/timothyspub,Greg Wyard; The Music Factory (TMF); Greg Wyard; Greg Wyard; The Music Factory (TMF); Greg Wyard; Greg Wyard; Greg Wyard; Greg Wyard; Greg Wyard,https://www.indieonthemove.com/venues/timothys-pub-toronto-ontario
GigSpace Performance Studio,Ottawa,ON,K1Y 3E5,"953 Gladstone Avenue, Ottawa, ON K1Y 3E5",N/A,https://www.gigspaceottawa.com/,"Music Venue, Jazz & Blues",Jazz,44,N/A,N/A,"""The mandate of GigSpace is to enlighten, inspire, educate and promote music and musicians in a supportive and creative atmosphere. We reach out to our audiences and engage the community through concerts, masterclasses, workshops and music education courses."" Friday and Saturday evening are available for public performances. Friday, Saturday and Sunday afternoons may be available for workshops. GigSpace is usually booked Monday through Thursday with ongoing classes, workshops and rehearsals.",Requires Premium,https://www.facebook.com/GigSpaceOttawa,https://www.instagram.com/GigSpace.Ottawa,N/A,https://www.indieonthemove.com/venues/gigspace-performance-studio-ottawa-ontario
Warehouse Concert Hall,St. Catharines,ON,L2R 4M2,"11 Geneva Street, St. Catharines, ON L2R 4M2",N/A,https://warehouseconcerthall.com/,Music Venue,All Genres,190,N/A,N/A,"""Warehouse Concert Hall is a multi-use concert and event space, located centrally in downtown St. Catharines. Opened in April 2017, Warehouse is the Niagara Region’s only dedicated live music venue, and is a perfect space for concerts, private parties, functions, DJ nights, video recording, fundraisers and more."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/warehouseconcerthall,https://www.instagram.com/warehouseconcerthall,Paitra; PRRR; KryOGeniX; The OBGMs; Gutter King; The Downcast; The Free Label; Texas King; Bleeker; Born In The Eighties,https://www.indieonthemove.com/venues/warehouse-concert-hall-st-catharines-ontario
Algonquin College,Ottawa,ON,K2G 1V8,"1385 Woodroffe Avenue, Ottawa, ON K2G 1V8",N/A,https://www.algonquinsa.com/,College/University,All Genres,N/A,N/A,N/A,N/A,Requires Premium,https://www.facebook.com/AlgonquinSA/,https://www.instagram.com/sa_algonquin,N/A,https://www.indieonthemove.com/venues/algonquin-college-ottawa-ontario
The Studio,Hamilton,ON,L8P 4Y2,"1 Summers Lane, Hamilton, ON L8P 4Y2",N/A,https://www.firstontarioconcerthall.ca/venues/detail/the-studio,Music Venue,All Genres,550,N/A,N/A,"""An intimate, versatile space within Hamilton’s premier performing arts center, The Studio is available for concerts and live shows as well as for TV, film and photography projects."" They host a varied amount of shows per month, about once a week on average. Shows generally fall on Friday and Saturday nights.",Requires Premium,https://www.facebook.com/FirstOntarioConcertHall,N/A,Madeleine Peyroux; Joy Clark; Barak Mori; Anthony Rodia; Shaylyn; Josh Thomas; Highwaymen Show,https://www.indieonthemove.com/venues/the-studio-hamilton-ontario
Options Jazz Lounge at Brookstreet,Ottawa,ON,K2K 2W2,"525 Legget Drive, Ottawa, ON K2K 2W2",N/A,https://www.brookstreethotel.com/options-jazz-lounge,"Music Venue, Bar, Jazz & Blues",Jazz,N/A,19+,N/A,"""An integral part of the Brookstreet boutique hotel vibe, experience Options Jazz Lounge; the best jazz bar Ottawa has to offer. Fill your ears with live local jazz music and tantalize your taste buds with the culinary creations by Chef Clifford Lyness."" They host live Jazz 7 nights a week.",Requires Premium,https://www.facebook.com/Brookstreet/timeline/,https://www.instagram.com/brookstreetott/,N/A,https://www.indieonthemove.com/venues/options-jazz-lounge-at-brookstreet-ottawa-ontario
Chateau Lafayette,Ottawa,ON,K1N 5S6,"42 York Street, Ottawa, ON K1N 5S6",N/A,https://www.thelaff.ca/,"Bar, Music Venue, Pub","Acoustic, Blues, Classic Rock, Country, Funk, Jazz, Singer-Songwriter",N/A,19+,N/A,"""Ottawa's Oldest Tavern, since 1849."" They host host live music Monday-Sunday with most nights being reserved for regular performers. They do host open mic on Tuesday nights and revolving local bands on Thursday nights. The last Sunday of the month is reserved for the best performers from the open mic.",Requires Premium,https://www.facebook.com/thelaffottawa,https://www.instagram.com/thelaffottawa,John Allaire; Ron Leary; John Allaire,https://www.indieonthemove.com/venues/chateau-lafayette-ottawa-ontario
Fourth Stage,Ottawa,ON,K1P 5W1,"1 Elgin Street, Ottawa, ON K1P 5W1",N/A,https://nac-cna.ca/en/venue/fourth-stage,"Music Venue, Rental","Blues, Chamber, Classical, Country, Electronic, Folk, Jazz, Pop, Roots Music, Singer-Songwriter",150,14+,N/A,"""With its long, street-level windows and cabaret seating, The Fourth Stage is the NAC’s home of discovery and community. The Fourth Stage offers an intimate setting, coupled with the National Art Centre’s exceptional sound and lighting. Every year it hosts hundreds of emerging music concerts, speakers, and community events."" They host events any day of the week.",Requires Premium,https://www.facebook.com/CanadasNAC.CNAduCanada,https://instagram.com/NAC.CNA,MIINA; The Battle of Santiago; Kazdoura,https://www.indieonthemove.com/venues/fourth-stage-ottawa-ontario
Kemptville Street Piano,Kemptville,ON,K0G 1J0,"1 Water Street, Kemptville, ON K0G 1J0",N/A,N/A,"Park, Music Venue, Seasonal","Acoustic, Singer-Songwriter",N/A,N/A,N/A,"""Kemptville's Street Piano, a public piano with a concert series, creative events and so much music!"" Performances take place on Saturdays during the summer months.",Requires Premium,https://www.facebook.com/KemptvilleStreetPiano,https://www.instagram.com/kemptville.street.piano/,N/A,https://www.indieonthemove.com/venues/kemptville-street-piano-kemptville-ontario
Ottawa Chamberfest,Ottawa,ON,K2P 0W7,"4 Florence Street, Ottawa, ON K2P 0W7",N/A,https://www.chamberfest.com/summer-festival/,Music Festival,"Chamber, Classical",N/A,N/A,N/A,"""Ottawa Chamberfest has been sharing music for 30 years now. We’ve grown from a small summer festival to a year-round arts organization."" The festival takes place from late July to early August each year. The also host several music series' throughout the year.",Requires Premium,https://www.facebook.com/ottawachamberfest,https://www.instagram.com/chamberfest/,N/A,https://www.indieonthemove.com/venues/ottawa-chamberfest-ottawa-ontario
Beaches Jazz Festival,Toronto,ON,M4L 1G8,"1798 Queen Street, Toronto, ON M4L 1G8",N/A,https://www.beachesjazz.com/,Music Festival,"All Genres, Jazz",N/A,N/A,N/A,"""The Beaches International Jazz Festival is a month-long music festival held each year in the lakeside Beaches community of Toronto in July. It's now one of Canada's largest free jazz festivals with nearly 1,000,000 attendees, throughout its month-long span. The Festival takes place across a number of venues; stage concerts are held in several different parks within the area and also along a two kilometre stretch of the Beach mainstreet during StreetFest - Queen Street East.""",Requires Premium,https://www.facebook.com/beachesjazz/,https://www.instagram.com/beachesjazz/,N/A,https://www.indieonthemove.com/venues/beaches-jazz-festival-toronto-ontario
Wintersong Music Festival,Stouffville,ON,L4A 0A1,"Stouffville, ON L4A 0A1",N/A,https://wintersong.ca/,Music Festival,All Genres,N/A,N/A,N/A,"""100+ Bands, 18+ Venues FREE TO ATTEND Industry Panels, Musical Gear Swap, Silent Disco, Free Shuttle Bus, Youth Stage + more."" The festival takes place in January.",Requires Premium,https://www.facebook.com/wintersongfest,https://www.instagram.com/wintersongfest/,N/A,https://www.indieonthemove.com/venues/wintersong-music-festival-stouffville-ontario
Toronto Jazz Festival,Toronto,ON,M4X 1L8,"Toronto, ON M4X 1L8",N/A,https://torontojazz.com/,Music Festival,"Blues, Funk, Hip Hop, Jazz, Latin, R&B",N/A,N/A,N/A,"""10-day music festival in downtown Toronto."" The festival takes place in mid to late June.",Requires Premium,https://www.facebook.com/torontojazzfest,https://www.instagram.com/torontojazzfest/,N/A,https://www.indieonthemove.com/venues/toronto-jazz-festival-toronto-ontario
The Broom Factory,Kingston,ON,K7K 3A9,"305 Rideau Street, Kingston, ON K7K 3A9",N/A,https://www.broomfactory.ca/,Music Venue,All Genres,225,N/A,N/A,"""A community hub in Kingston’s Inner Harbour serving film, music, design and the arts."" While most shows take place Thursday-Saturday nights, they can be held any night of the week.",Requires Premium,N/A,https://www.instagram.com/broomfactorykingston/,Old Man Luedecke; Marlo Green; The Deep Dark Woods; Cancer Bats; chastity; TEETH; ANCIIENTS; Haley Heynderickx; Max García Conover; Dead Root Revival,https://www.indieonthemove.com/venues/the-broom-factory-kingston-ontario
Mixto Festival,Toronto,ON,M6H 3T8,"Toronto, ON M6H 3T8",N/A,https://www.mixtofestival.com/,Music Festival,"All Genres, World",N/A,N/A,N/A,"""Mixto Festival celebrates a truly intercultural city. It brings together communities, cultures and contemporary experiences in a uniquely celebratory format that avoids presenting “world music” as a static or exotic experience."" The festvial takes place in mid July.",Requires Premium,https://www.facebook.com/mixtofestival,https://www.instagram.com/mixtofestival,N/A,https://www.indieonthemove.com/venues/mixto-festival-toronto-ontario
Pubwells,Ottawa,ON,K1R 7P2,"96 Preston Street, Ottawa, ON K1R 7P2",N/A,https://www.pubwells.com/,"Music Venue, Pub","Bluegrass, Classic Rock, Jazz",N/A,19+,N/A,"""Established in 1991, Pubwells is a cozy take on a traditional British Pub. Located in the Little Italy neighborhood of Ottawa, we make sure that if you’re looking for a night of fun and entertainment, we’re the place you’re going to want to be! From the music to the carefully curated list of drinks, from our homemade pizzas and burgers to our homey and cozy decor, our incredible staff proudly craft a unique experience for our guests."" They host live music on Thursday and Saturday nights.",Requires Premium,https://www.facebook.com/pubwells/,https://www.instagram.com/pubwells.ottawa,N/A,https://www.indieonthemove.com/venues/pubwells-ottawa-ontario
Bowie's,Smiths Falls,ON,K7A 1E8,"20 Russell Street East, Smiths Falls, ON K7A 1E8",N/A,https://bowiessmithsfalls.com/,"Bar, Music Venue, Open Mic","Acoustic, Singer-Songwriter",N/A,19+,N/A,"""Est 2019, Bowie's is a great place to catch a show in Smiths Falls, Ontario. A modern neighborhood bar, and welcoming hub for visitors, they offer a long list of regional craft beers, cocktails, and espresso."" They host open stage on Thursday nights, shows on Friday nights (sometimes Saturday nights), and a songwriter series on the third Sunday of each month.",Requires Premium,https://www.facebook.com/bowiessmithsfalls,https://www.instagram.com/sfbowies/,Rory Taillon; Craig Cardiff; Craig Cardiff; Rory Taillon,https://www.indieonthemove.com/venues/bowies-smiths-falls-ontario
Deacon Brodies Pub,Ottawa,ON,K2P 0G1,"247 Elgin Street, Ottawa, ON K2P 0G1",N/A,https://deaconbrodies.ca/,"Pub, Music Venue, Bar","Acoustic, Singer-Songwriter",N/A,19+,N/A,"""Ottawa Scottish Pub with over 400 whiskies, daily specials, live music, and monthly scotch tastings!"" Shows are held Thursday-Saturday nights.",Requires Premium,https://www.facebook.com/deaconspub,https://www.instagram.com/deaconspub,N/A,https://www.indieonthemove.com/venues/deacon-brodies-pub-ottawa-ontario
Heart & Crown - Preston,Ottawa,ON,K1S 1V6,"353B Preston Street, Ottawa, ON K1S 1V6",N/A,https://heartandcrown.pub/location/preston/,"Music Venue, Pub","Acoustic, Celtic, Classic Rock, Country, Folk, Irish, Pop, Rock, Singer-Songwriter, Top 40",N/A,19+,N/A,"""The most beautiful pub in the city with rich mahogany wood, a circular copper bar and all imported tables and chairs makes this pub truly inspired by Ireland. The copper throughout the restaurant gives a glowing effect through the night. Join us for a drink on Preston Street’s largest patio or pop in for live music performed by some of Ottawa’s finest musicians."" Shows are held Wednesday-Saturday nights. Browse additional Heart & Crown locations.",Requires Premium,https://www.facebook.com/HeartandCrownPreston/,https://www.instagram.com/heartandcrown,N/A,https://www.indieonthemove.com/venues/heart-crown-preston-ottawa-ontario
The Union,Kitchener,ON,N2G 3V2,"124 Sydney Street South, Kitchener, ON N2G 3V2",N/A,https://www.theunionkw.com/,Music Venue,All Genres,N/A,N/A,N/A,"""Kitchener's multi-purpose arts hub, hosting concerts, community events, showcases, and multimedia collaborations."" Shows can be held any night of the week.",Requires Premium,N/A,https://www.instagram.com/nofuneral.online/,Castle; 027,https://www.indieonthemove.com/venues/the-union-kitchener-ontario
Canadian Lakehead Exhibition,Thunder Bay,ON,P7C 2V7,"425 North Ave., Thunder Bay, ON P7C 2V7",N/A,https://www.cle.on.ca/,Music Festival,All Genres,N/A,N/A,N/A,"""The Canadian Lakehead Exhibition is an Annual Family Fair which takes place in August for 5 days from Noon to Midnight. It is deemed to be the largest Fair in all of Northwestern Ontario. The fair offers a variety of activities, entertainment and many other events during the afternoon and evening."" The fair takes place in early to mid August.",Requires Premium,https://www.facebook.com/profile.php?id=100063633695972,N/A,N/A,https://www.indieonthemove.com/venues/canadian-lakehead-exhibition-thunder-bay-ontario
Wayland Bar & Grill,Thunder Bay,ON,P7E 3T2,"1019 Gore Street, Thunder Bay, ON P7E 3T2",N/A,N/A,"Bar, Restaurant, Music Venue","All Genres, Rock",100,19+,N/A,"""Wayland Bar & Grill has been the heart and soul of Westfort for over 75 years."" They host live music on Friday and Saturday nights.",Requires Premium,https://www.facebook.com/waylandbarandgrill/,https://www.instagram.com/waylandbargrill/,N/A,https://www.indieonthemove.com/venues/wayland-bar-grill-thunder-bay-ontario
Red Lion Smokehouse,Thunder Bay,ON,P7B 2T2,"16 Cumberland Street South, Thunder Bay, ON P7B 2T2",N/A,N/A,"Pub, Music Venue","Acoustic, Pop, Singer-Songwriter, Soft Rock",130,N/A,N/A,"""Red Lion Smokehouse is a barbecue restaurant and smokehouse in Thunder Bay’s waterfront district. We love great food and good beer so we created a place where you can enjoy both."" They host live music on Friday nights.",Requires Premium,https://www.facebook.com/redlionsmokehouse,https://www.instagram.com/redlionsmokehouse/,N/A,https://www.indieonthemove.com/venues/red-lion-smokehouse-thunder-bay-ontario
Dragon's Den Sports Bar & Grill,Thunder Bay,ON,P7B 5J4,"1010 Dawson Road, Thunder Bay, ON P7B 5J4",N/A,N/A,"Bar, Music Venue","Acoustic, Classic Rock, Country, DJ, Pop, Rock",N/A,19+,N/A,This sports bar hosts most live music and/or DJs on Friday and Saturday nights. Acoustic performances are also possible during the week.,Requires Premium,https://www.facebook.com/dragonsdensbar/,N/A,N/A,https://www.indieonthemove.com/venues/dragons-den-sports-bar-grill-thunder-bay-ontario
Phog Lounge,Windsor,ON,N9A 5P4,"157 University Avenue West, Windsor, ON N9A 5P4",N/A,N/A,"Music Venue, Bar",All Genres,60,19+,N/A,"""Phog Lounge is an intimate bar located at 157 University Ave. W."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/phoglounge/,https://www.instagram.com/phoglounge/,Laveda; Lock Smith; Dyse,https://www.indieonthemove.com/venues/phog-lounge-windsor-ontario
Harmony Music Hall,Vandorf,ON,L0H 1G0,"14663 Woodbine Avenue, Vandorf, ON L0H 1G0",N/A,https://harmonymusichall.ca/,"Music Venue, Open Mic",All Genres,210,N/A,N/A,"""Nestled in the heart of York Region, Harmony Hall is a unique live music venue housed in a beautifully restored 103-year-old town hall. Located at 14663 Woodbine Avenue in Vandorf, Ontario, this one-of-a-kind destination combines historic charm with modern amenities, offering unforgettable experiences for both artists and audiences."" Most shows take place Thursday-Saturday nights with open stage on Sunday nights.",Requires Premium,https://www.facebook.com/profile.php?id=61563618565183,https://www.instagram.com/harmonymusichall,Great Lake Swimmers; Lauren Dillen; Amy Millan,https://www.indieonthemove.com/venues/harmony-music-hall-vandorf-ontario
Dina's Tavern,Toronto,ON,M5S2H1,"486 Spadina Avenue, Toronto, ON M5S2H1",N/A,https://www.dinastavern.com/,"Music Venue, Bar",All Genres,N/A,19+,N/A,They can host live music any night of the week.,Requires Premium,https://www.facebook.com/profile.php?id=61579176147960,https://www.instagram.com/dinastavern/,N/A,https://www.indieonthemove.com/venues/dinas-tavern-toronto-ontario
The Aulde Dubliner & Pour House,Ottawa,ON,K1N 7A3,"62 William Street, Ottawa, ON K1N 7A3",N/A,https://heartandcrown.pub/location/the-aulde-dubliner-pour-house/,"Music Venue, Pub","Acoustic, Celtic, Classic Rock, Country, Folk, Irish, Pop, Rock, Singer-Songwriter, Top 40",N/A,19+,N/A,"""The first thing you’ll notice at the Aulde Dubliner & Pour House is the look and feel; hand-crafted and built in Ireland, it is a truly authentic two-story Irish pub. Outside you will find beautifully carved wood adorned with gold leaf, 2 patios and a mezzanine balcony overlooking the gateway to the historic ByWard Market."" Shows are held Wednesday-Saturday nights as well as on holidays. This venue is affiliated with the Heart & Crown locations.",Requires Premium,https://www.facebook.com/AuldeDubliner/,https://www.instagram.com/auldedubliner/,N/A,https://www.indieonthemove.com/venues/the-aulde-dubliner-pour-house-ottawa-ontario
Heart & Crown - Barrhaven,Ottawa,ON,K2J 5N1,"3161 Strandherd Drive #300, Ottawa, ON K2J 5N1",N/A,https://heartandcrown.pub/location/barrhaven/,"Music Venue, Pub","Acoustic, Celtic, Classic Rock, Country, Folk, Irish, Pop, Rock, Singer-Songwriter, Top 40",N/A,19+,N/A,"""The Heart & Crown Barrhaven is an authentic Irish pub offering the very best in live music & sporting events, a vast list of draft and bottled beers and hearty, Irish inspired dishes to satisfy your hunger. Conveniently located at Strandherd Crossing, the Heart & Crown is nestled in the heart of this growing suburban neighborhood."" Shows are held on Friday and Saturday nights as well as on holidays. Browse additional Heart & Crown locations.",Requires Premium,https://www.facebook.com/HeartandCrownBarrhaven/,https://www.instagram.com/heartandcrown/,N/A,https://www.indieonthemove.com/venues/heart-crown-barrhaven-ottawa-ontario
Heart & Crown - Byward,Ottawa,ON,K1N 5P5,"67 Clarence Street, Ottawa, ON K1N 5P5",N/A,https://heartandcrown.pub/location/byward/,"Music Venue, Pub","Acoustic, Celtic, Classic Rock, Country, Folk, Irish, Pop, Rock, Singer-Songwriter, Top 40",N/A,19+,N/A,"""The Heart & Crown, in Ottawa’s historic ByWard Market, consists of 5 pubs under 1 roof with 6 patios that make-up what is locally known as Ottawa’s Irish Village. Featuring Irish-inspired dishes, live music daily and domestic & international sporting events; there’s a little something for everybody. A favourite amongst the Irish community, the Heart & Crown is amongst Ottawa’s best known watering holes."" Browse additional Heart & Crown locations.",Requires Premium,https://www.facebook.com/heartandcrownbyward/,https://www.instagram.com/heartandcrown,N/A,https://www.indieonthemove.com/venues/heart-crown-byward-ottawa-ontario
Art House,Ottawa,ON,K1R 6A1,"555 Somerset Street West, Ottawa, ON K1R 6A1",N/A,https://www.thearthousecafe.ca/,"Music Venue, Cafe, Art Gallery, Bar, Open Mic",All Genres,N/A,N/A,N/A,"""Experience the Ottawa arts community in this unique cafe, bar, and gallery! Hosting live shows, special exhibitions, and serving quality food and drinks day and night."" They host open mic on Monday nights and shows Thursday-Saturday nights with the first Saturday of each month being reserved for Jazz.",Requires Premium,https://www.facebook.com/arthousecafe613/,https://www.instagram.com/arthousecafe613/,Ethan Mitchell,https://www.indieonthemove.com/venues/art-house-ottawa-ontario
Sonic Hall,Guelph,ON,N1H 4E5,"12 Wyndham Street North 2nd Floor, Guelph, ON N1H 4E5",N/A,https://www.sonichall.ca/,"Music Venue, Rental",All Genres,700,N/A,N/A,Shows can be held any night of the week.,Requires Premium,https://www.facebook.com/profile.php?id=61563913352835,https://www.instagram.com/sonichallguelph/,Dana Sipos; MIINA; The Effens; Brendan Philip; The OBGMs; Andrew Collins; Bleeker; Texas King; Living Room for Small; Chest Fever Official,https://www.indieonthemove.com/venues/sonic-hall-guelph-ontario
Henry's on James,Hamilton,ON,L8L 1H3,"303 James Street North, Hamilton, ON L8L 1H3",N/A,https://www.henrysonjames.com/,"Music Venue, Jazz & Blues, Restaurant",Jazz,N/A,N/A,N/A,"""A hidden gem in the city — part intimate restaurant, part live music venue. 303 James Street North, Hamilton, Ontario."" They host live music Thursday-Sunday nights and on Sundays during brunch.",Requires Premium,N/A,https://www.instagram.com/henrys.onjames/,N/A,https://www.indieonthemove.com/venues/henrys-on-james-hamilton-ontario
Da Vinci Centre,Thunder Bay,ON,P7E 6H9,"340 Waterloo Street South, Thunder Bay, ON P7E 6H9",N/A,https://davincicentre.com/,"Music Venue, Bar, Restaurant, Outdoor Performance Space, Seasonal",All Genres,N/A,N/A,N/A,"""Traditional Italian hospitality in the heart of Thunder Bay."" They host live music on Thursday nights late June - late August/early September with their ""Summer in the Parking Lot"" series.",Requires Premium,https://www.facebook.com/davincicentretbay/,N/A,N/A,https://www.indieonthemove.com/venues/da-vinci-centre-thunder-bay-ontario
Black Pirates Pub,Thunder Bay,ON,P7B 2Y6,"101-215 Red River Road, Thunder Bay, ON P7B 2Y6",N/A,http://www.blackpiratespub.com/,"Music Venue, Pub",All Genres,150,19+,N/A,"""Black Pirates Pub is Thunder Bay's premiere casual venue for local and touring Live Entertainment."" Concerts are generally held Thursday-Saturday nights, but Wednesdays are also possible.",Requires Premium,https://www.facebook.com/BlackPiratesPub/,https://www.instagram.com/blackpiratespub/,Cancer Bats; chastity; ANCIIENTS; TEETH; Gutter King; CHILIØ; Brass Camel; Mizmor; Dopethrone,https://www.indieonthemove.com/venues/black-pirates-pub-thunder-bay-ontario
The Foundry,Thunder Bay,ON,P7B 1A6,"242 Red River Road, Thunder Bay, ON P7B 1A6",N/A,https://thefoundrypub.com/,"Music Venue, Pub, Outdoor Performance Space",All Genres,N/A,19+,N/A,"""A (new) old Irish gastropub with a focus on homemade and creative food using fresh and local ingredients. Located in the booming waterfront entertainment district, joining the other great late night hotspots on the Cumberland/Court/Red River pub crawl route!"" Live music is held Thursday - Saturday nights.",Requires Premium,https://www.facebook.com/foundrytbay/,https://www.instagram.com/foundrytbay/,N/A,https://www.indieonthemove.com/venues/the-foundry-thunder-bay-ontario
